config_id,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,decode_tok_s,ttft_ms,tpot_ms,duration_s,baseline_power_w,active_power_w,peak_power_w,dynamic_power_w,total_energy_j,dynamic_energy_per_token_mj,temp_cpu_start_c,temp_cpu_end_c,cooling_state,cpu_freq_mhz,voltage_v,notes
RND_0777,Random_50M_150M,25,352,12,4,48,64,800,22.2100,872.00,45.02,2.2678,0.2568,0.5358,0.8102,0.2789,1.2151,19.7683,34.7,35.1,0,1900.8,4.373,
RND_0778,Random_50M_150M,26,448,4,2,48,16,1920,5.8600,1145.00,170.65,6.4351,0.2581,0.6315,0.8142,0.3734,4.0635,75.0891,34.4,34.7,0,1900.8,4.375,
RND_0779,Random_50M_150M,19,640,1,1,16,32,1888,17.2900,1520.00,57.84,3.3129,0.2668,0.5051,0.8699,0.2383,1.6734,24.6746,35.7,36.1,0,1900.8,4.364,
RND_0781,Random_50M_150M,24,384,8,8,64,16,992,21.3100,1009.00,46.93,2.4637,0.2398,0.5183,0.8164,0.2785,1.2769,21.4400,35.1,36.4,0,1900.8,4.363,
RND_0782,Random_50M_150M,12,608,2,2,64,64,2688,17.6900,1252.00,56.53,3.0044,0.2461,0.6329,0.8285,0.3868,1.9015,36.3203,35.7,36.8,0,1900.8,4.361,
RND_0783,Random_50M_150M,27,288,16,4,64,64,1280,18.0800,1438.00,55.31,3.1526,0.2745,0.6093,0.8973,0.3349,1.9210,32.9894,36.8,36.1,0,1900.8,4.359,
RND_0784,Random_50M_150M,23,544,2,1,16,48,1632,18.3500,1297.00,54.50,2.9864,0.4588,0.5114,0.6783,0.0526,1.5273,4.9126,36.4,36.4,0,1900.8,4.354,
RND_0785,Random_50M_150M,22,544,12,2,16,16,1792,16.2000,1461.00,61.73,3.3746,0.4945,0.5488,0.9243,0.0543,1.8519,5.7259,36.1,37.5,0,1900.8,4.346,
RND_0786,Random_50M_150M,23,320,4,2,48,64,1600,9.7600,732.00,102.46,3.9082,0.2882,0.6240,0.8865,0.3358,2.4387,41.0119,36.8,36.8,0,1900.8,4.342,
RND_0787,Random_50M_150M,14,608,4,1,48,48,1920,19.8700,1074.00,50.33,2.6341,0.2539,0.4666,0.6896,0.2127,1.2291,17.5057,37.5,36.8,0,1900.8,4.353,
RND_0788,Random_50M_150M,28,352,12,4,48,32,1408,17.7500,1303.00,56.34,3.0495,0.3000,0.5955,0.9963,0.2955,1.8160,28.1564,36.8,36.8,0,1900.8,4.336,
