config_id,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,decode_tok_s,ttft_ms,tpot_ms,duration_s,baseline_power_w,active_power_w,peak_power_w,dynamic_power_w,total_energy_j,dynamic_energy_per_token_mj,temp_cpu_start_c,temp_cpu_end_c,cooling_state,cpu_freq_mhz,voltage_v,notes
RND_1188,Random_50M_150M,23,512,2,2,48,64,2688,4.7200,1460.00,211.86,8.0278,0.3209,0.6593,0.8336,0.3384,5.2925,84.8848,39.8,41.9,0,1900.8,4.010,
RND_1189,Random_50M_150M,27,416,2,2,32,32,1056,24.7600,1157.00,40.39,2.4090,0.3525,0.5345,0.7272,0.1820,1.2876,13.7012,39.8,40.9,0,1900.8,4.009,
RND_1190,Random_50M_150M,10,576,8,8,16,48,1472,10.0400,756.00,99.60,3.8436,0.2843,0.5875,0.9778,0.3032,2.2582,36.4193,39.5,40.5,0,1900.8,4.004,
RND_1191,Random_50M_150M,13,512,2,2,48,64,2304,7.6300,795.00,131.06,4.8579,0.2853,0.6088,0.7923,0.3236,2.9576,49.1187,39.8,40.9,0,1900.8,3.993,
RND_1192,Random_50M_150M,17,384,1,1,32,16,1824,21.8900,1157.00,45.68,2.5732,0.2968,0.5628,0.9330,0.2660,1.4482,21.3912,39.8,40.5,0,1900.8,3.981,
RND_1193,Random_50M_150M,28,512,2,2,32,48,1536,15.4800,1526.00,64.60,3.5286,0.3018,0.5633,0.9141,0.2616,1.9878,28.8436,39.8,40.5,0,1900.8,3.976,
RND_1194,Random_50M_150M,17,384,4,2,16,48,1792,9.5200,607.00,105.04,3.8633,0.3096,0.6165,0.8245,0.3069,2.3818,37.0504,39.8,40.9,0,1900.8,3.964,
RND_1195,Random_50M_150M,23,320,4,2,16,64,1696,24.6000,928.00,40.65,2.1882,0.3063,0.5866,1.2055,0.2803,1.2836,19.1678,39.8,41.2,0,1900.8,3.959,
RND_1196,Random_50M_150M,18,544,2,1,32,48,2016,17.6000,1240.00,56.82,3.0014,0.2696,0.5197,0.8070,0.2500,1.5598,23.4522,39.8,41.2,0,1900.8,3.954,
RND_1197,Random_50M_150M,19,480,2,1,16,48,1344,23.2200,873.00,43.07,2.2081,0.2588,0.4844,0.7602,0.2256,1.0696,15.5677,39.5,40.5,0,1900.8,3.947,
RND_1198,Random_50M_150M,23,576,2,1,16,64,2208,13.5700,1878.00,73.69,4.1625,0.2663,0.5901,1.0606,0.3239,2.4564,42.1278,39.8,40.5,0,1900.8,3.934,
RND_1199,Random_50M_150M,19,384,8,1,16,48,2016,21.8600,1046.00,45.75,2.4641,0.2938,0.5631,0.7694,0.2693,1.3876,20.7361,39.8,40.5,0,1900.8,3.929,
RND_1200,Random_50M_150M,13,448,4,1,32,48,2336,25.0000,916.00,40.00,2.1560,0.2662,0.4886,0.6902,0.2224,1.0534,14.9827,39.8,40.5,0,1900.8,3.920,
RND_1201,Random_50M_150M,27,608,6,1,32,48,1344,15.3500,1553.00,65.15,3.5725,0.2652,0.5539,0.9475,0.2887,1.9788,32.2311,39.5,40.5,0,1900.8,3.912,
RND_1202,Random_50M_150M,28,416,4,1,64,48,1344,19.1100,1128.00,52.33,2.7502,0.2920,0.5496,0.8692,0.2576,1.5116,22.1415,39.5,41.9,0,1363.2,3.908,
RND_1203,Random_50M_150M,11,608,6,3,64,32,1504,26.4100,792.00,37.86,1.9658,0.2852,0.4203,0.5634,0.1351,0.8262,8.3015,39.5,41.5,0,1900.8,3.897,
RND_1204,Random_50M_150M,24,576,16,1,16,16,2432,4.1000,1702.00,243.90,9.2630,0.2832,0.6494,0.9385,0.3661,6.0149,105.9881,39.8,40.9,0,1900.8,3.892,
RND_1205,Random_50M_150M,23,576,12,12,48,48,1632,12.4700,2073.00,80.19,4.5590,0.3183,0.5743,0.8845,0.2560,2.6181,36.4681,39.8,40.2,0,1900.8,3.878,
