protocol,split,variant,target,n,mape,mae,r2,spearman
random,20260910,architecture_temp_voltage_diagnostic,ttft_ms,188,7.978084683418274,75.28050994873047,0.9366338849067688,0.966429189697474
random,20260910,architecture_temp_voltage_diagnostic,dynamic_energy_per_token_mj,188,17.86244362592697,3.737431526184082,0.902286171913147,0.9507754100995652
random,20260911,architecture,tpot_ms,188,22.294846177101135,12.441130638122559,0.8409290313720703,0.8685906755458905
random,20260911,architecture,ttft_ms,188,19.246937334537506,177.6508331298828,0.8118702173233032,0.8951469514097381
random,20260911,architecture,dynamic_energy_per_token_mj,188,28.896108269691467,5.897072792053223,0.7962580323219299,0.8923401726906106
random,20260911,architecture_temp,tpot_ms,188,8.38778242468834,4.952235698699951,0.9531255960464478,0.9667963988107242
random,20260911,architecture_temp,ttft_ms,188,8.17640870809555,80.22350311279297,0.9190710186958313,0.9668577135790096
random,20260911,architecture_temp,dynamic_energy_per_token_mj,188,22.711282968521118,4.5953688621521,0.8210548162460327,0.9265622432080504
random,20260911,architecture_voltage_diagnostic,tpot_ms,188,21.259048581123352,11.863870620727539,0.8546662330627441,0.8710504691182963
random,20260911,architecture_voltage_diagnostic,ttft_ms,188,18.564514815807343,172.232177734375,0.8173271417617798,0.8965592596216524
random,20260911,architecture_voltage_diagnostic,dynamic_energy_per_token_mj,188,28.447484970092773,5.764347076416016,0.804790735244751,0.8923239186067721
random,20260911,architecture_order_diagnostic,tpot_ms,188,5.726791545748711,2.977433443069458,0.9871021509170532,0.9879872856549401
random,20260911,architecture_order_diagnostic,ttft_ms,188,5.36591149866581,47.295955657958984,0.9793531894683838,0.9865812659860619
random,20260911,architecture_order_diagnostic,dynamic_energy_per_token_mj,188,22.411370277404785,4.1825432777404785,0.859870195388794,0.9312163292138259
random,20260911,architecture_temp_voltage_diagnostic,tpot_ms,188,7.685475796461105,4.475081443786621,0.9671434164047241,0.9756919298245893
random,20260911,architecture_temp_voltage_diagnostic,ttft_ms,188,7.432845234870911,71.84473419189453,0.9443197250366211,0.9759140045363546
random,20260911,architecture_temp_voltage_diagnostic,dynamic_energy_per_token_mj,188,21.82132601737976,4.32066011428833,0.8395543098449707,0.9319766591356077
random,20260912,architecture,tpot_ms,188,22.607271373271942,13.049545288085938,0.8107832670211792,0.8313759131721818
random,20260912,architecture,ttft_ms,188,19.223465025424957,180.00831604003906,0.7636867761611938,0.8776423164430723
random,20260912,architecture,dynamic_energy_per_token_mj,188,37.543272972106934,6.020260334014893,0.8043670654296875,0.8532563250961247
random,20260912,architecture_temp,tpot_ms,188,8.338023722171783,4.899410247802734,0.9416086673736572,0.9494216234338309
random,20260912,architecture_temp,ttft_ms,188,7.971012592315674,72.87255096435547,0.9413074851036072,0.9618578140604394
random,20260912,architecture_temp,dynamic_energy_per_token_mj,188,27.307400107383728,4.129138469696045,0.8849255442619324,0.9090584009232319
random,20260912,architecture_voltage_diagnostic,tpot_ms,188,21.570543944835663,12.41676139831543,0.8141766786575317,0.8422255533235967
random,20260912,architecture_voltage_diagnostic,ttft_ms,188,18.38483214378357,171.99717712402344,0.7758508324623108,0.8830350846073738
random,20260912,architecture_voltage_diagnostic,dynamic_energy_per_token_mj,188,36.94619536399841,5.998762607574463,0.798356831073761,0.8591258553711618
random,20260912,architecture_order_diagnostic,tpot_ms,188,6.72290176153183,4.092320442199707,0.9514918923377991,0.9778329616014518
random,20260912,architecture_order_diagnostic,ttft_ms,188,5.983790010213852,57.54099655151367,0.9607957601547241,0.9806512318493611
random,20260912,architecture_order_diagnostic,dynamic_energy_per_token_mj,188,27.582761645317078,4.346649169921875,0.865220844745636,0.9118739694459344
random,20260912,architecture_temp_voltage_diagnostic,tpot_ms,188,7.5896792113780975,4.5973029136657715,0.9485024213790894,0.9593610316025053
random,20260912,architecture_temp_voltage_diagnostic,ttft_ms,188,7.158731669187546,64.01712036132812,0.9552405476570129,0.9668640944862408
random,20260912,architecture_temp_voltage_diagnostic,dynamic_energy_per_token_mj,188,25.960901379585266,4.0223798751831055,0.8898351788520813,0.9190221543162719
random,20260913,architecture,tpot_ms,188,22.71350771188736,12.637972831726074,0.8122929334640503,0.829410593456164
random,20260913,architecture,ttft_ms,188,19.965441524982452,186.18031311035156,0.7452863454818726,0.8595781493190742
random,20260913,architecture,dynamic_energy_per_token_mj,188,26.98972225189209,5.688863754272461,0.8208128213882446,0.8713200302687161
random,20260913,architecture_temp,tpot_ms,188,8.752542734146118,5.394413948059082,0.9173085689544678,0.9516696834690148
random,20260913,architecture_temp,ttft_ms,188,8.357202261686325,85.93457794189453,0.8897101879119873,0.9601880430734039
random,20260913,architecture_temp,dynamic_energy_per_token_mj,188,21.481245756149292,4.039050102233887,0.8746675848960876,0.9192605475459042
random,20260913,architecture_voltage_diagnostic,tpot_ms,188,22.018302977085114,12.173563003540039,0.8210853338241577,0.8321087799010414
random,20260913,architecture_voltage_diagnostic,ttft_ms,188,19.34109330177307,179.18406677246094,0.7588536739349365,0.8616153425436538
random,20260913,architecture_voltage_diagnostic,dynamic_energy_per_token_mj,188,26.966342329978943,5.579948425292969,0.8297281861305237,0.8745076367103901
random,20260913,architecture_order_diagnostic,tpot_ms,188,6.126189604401588,3.5345640182495117,0.9748132228851318,0.9778225870220738
random,20260913,architecture_order_diagnostic,ttft_ms,188,5.930618569254875,56.79473876953125,0.9618791937828064,0.980747801644871
