variant,seed,target,feature,normalized_gain
compute,42,dynamic_energy_per_token_mj,attention_projection_mac,0.01534747052937746
compute,42,dynamic_energy_per_token_mj,decode_output_elements,0.048410139977931976
compute,123,tpot_ms,n_layer,0.007540608756244183
compute,123,tpot_ms,d_model,0.0066299340687692165
compute,123,tpot_ms,n_h,0.007384839933365583
compute,123,tpot_ms,n_kv,0.009417235851287842
compute,123,tpot_ms,d_qk,0.007779400795698166
compute,123,tpot_ms,d_v,0.005204624030739069
compute,123,tpot_ms,d_mlp,0.009220658801496029
compute,123,tpot_ms,total_params_M,0.022337831556797028
compute,123,tpot_ms,q8_group_size,0.45681390166282654
compute,123,tpot_ms,layer_size_kb,0.007027787156403065
compute,123,tpot_ms,mlp_ratio,0.007897389121353626
compute,123,tpot_ms,kv_ratio,0.004631080664694309
compute,123,tpot_ms,kv_bytes_per_token,0.007005346938967705
compute,123,tpot_ms,attention_width,0.006205118726938963
compute,123,tpot_ms,decode_dense_mac,0.016066573560237885
compute,123,tpot_ms,decode_attention_mac,0.009440014138817787
compute,123,tpot_ms,decode_total_mac,0.05037860572338104
compute,123,tpot_ms,prefill_dense_mac,0.09462867677211761
compute,123,tpot_ms,prefill_attention_mac,0.006088437046855688
compute,123,tpot_ms,prefill_total_mac,0.1174752339720726
compute,123,tpot_ms,sequence_mac,0.039994776248931885
compute,123,tpot_ms,mlp_mac_fraction,0.006964918691664934
compute,123,tpot_ms,classifier_mac_fraction,0.02158408984541893
compute,123,tpot_ms,attention_projection_mac,0.014220742508769035
compute,123,tpot_ms,decode_output_elements,0.05806226283311844
compute,123,ttft_ms,n_layer,0.007338299416005611
compute,123,ttft_ms,d_model,0.008035059086978436
compute,123,ttft_ms,n_h,0.012434733100235462
compute,123,ttft_ms,n_kv,0.00903392769396305
compute,123,ttft_ms,d_qk,0.005338058341294527
compute,123,ttft_ms,d_v,0.005992545280605555
compute,123,ttft_ms,d_mlp,0.006645876448601484
compute,123,ttft_ms,total_params_M,0.024048635736107826
compute,123,ttft_ms,q8_group_size,0.023848149925470352
compute,123,ttft_ms,layer_size_kb,0.006373354233801365
compute,123,ttft_ms,mlp_ratio,0.006653596647083759
compute,123,ttft_ms,kv_ratio,0.008352456614375114
compute,123,ttft_ms,kv_bytes_per_token,0.0066603017039597034
